actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 actual_qdd_0 actual_qdd_1 actual_qdd_2 actual_qdd_3 actual_qdd_4 actual_qdd_5 timestamp
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.02665422366443778 -0.013663495175156616 0.02069926347288822 -0.007035768615958483 -6.548435516122917e-09 -0.011747732162092484 1.757563354358079 -0.9009625909436605 1.3648968883940837 -0.46393431843411087 -4.317998691843475e-07 -0.7746383389307043 0.15000000000000002
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.10025316816302768 -0.051391805544023415 0.07785508097791566 -0.026463276630822725 -2.463029556844763e-08 -0.044186144110129305 3.195569735196507 -1.6381138017157464 2.4816307061710616 -0.8435169426074742 -7.850906712442682e-07 -1.4084333435103715 0.2
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.21169180943408844 -0.10851751126715294 0.16439662973095517 -0.05587912099120745 -5.2008649016480346e-08 -0.09330223642785847 4.333991453360263 -2.2216918435769806 3.365711645244502 -1.144019853411387 -1.0647792228750386e-06 -1.9101877221359411 0.25
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.3524525443231442 -0.18067431636570733 0.27370926906298476 -0.09303495690523614 -8.659088285782369e-08 -0.15534191288717333 5.192800819694324 -2.6619349277880873 4.032649897527975 -1.3707150317371457 -1.2757723407719358e-06 -2.2887041832043535 0.3
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.5146051905829241 -0.2637970487214581 0.3996345404200871 -0.13583749784254096 -1.2642870222817662e-07 -0.22680998044811246 5.79197014504367 -2.96908126560979 4.497955654935049 -1.5288744584760472 -1.422976841630236e-06 -2.5527854351125483 0.35000000000000003
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.6908069868733625 -0.3541216600767863 0.53647016736345 -0.18234851553426282 -1.697181304013344e-07 -0.3044701492588597 6.151471740253277 -3.153369068302811 4.777139109379293 -1.623770114519388 -1.5112995421452162e-06 -2.711234186257465 0.4
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.8743025927615995 -0.4481852260346827 0.6789700555693665 -0.23078483997305138 -2.147995087891889e-07 -0.3853450326557443 6.2912779161681245 -3.225036547127875 4.885710452774277 -1.660673980758465 -1.545647259012153e-06 -2.7728531450360436 0.45
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 1.05892408872198 -0.5428259460587472 0.8223442928292342 -0.279518359413065 -2.601574969417281e-07 -0.4667161471632408 6.231360983633189 -3.194321913345704 4.839179877033569 -1.6448580380845748 -1.5309268089263225e-06 -2.7464450198452237 0.5
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 1.239090976136054 -0.6351831434731897 0.9622591490495558 -0.3270760203699708 -3.044210725470364e-07 -0.5461239124939687 5.991693253493453 -3.071463378217022 4.653057574070741 -1.581594267389014 -1.4720450085830027e-06 -2.6408125190819467 0.55
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 1.4098101772925768 -0.7226972654628292 1.094837076251939 -0.3721398276209446 -3.463635314312948e-07 -0.6213676515486933 5.592247036593889 -2.8666991530025543 4.342853735799357 -1.47615464956308 -1.3739086746774692e-06 -2.4647583511431503 0.6000000000000001
3.712343346354296 -0.8256203232703135 0.8431825066023136 -1.5883585102131959 -1.5707963268731249 2.1411647908323266 1.5666760353875095 -0.8031098830730944 1.2166567085730966 -0.4135468442046709 -3.8490248755878036e-07 -0.690505590416325 5.052994643779479 -2.5902674489630217 3.9240785541329912 -1.3338111654980684 -1.2414246239049987e-06 -2.2270852244257746 0.6500000000000001
3.7141059930111453 -0.8265238916651229 0.8445513511058738 -1.588823786342991 -1.5707963273061736 2.140387912050121 1.705870314524018 -0.8744636912100231 1.3247528622648461 -0.4502891914213429 -4.190998730318667e-07 -0.7518548583739187 4.3939083858952 -2.2524064773591492 3.412242220985211 -1.159835796085277 -1.0794996729608687e-06 -1.9365958473267604 0.7012096348550656
3.7186113769920777 -0.8288334427914545 0.8480501635733431 -1.5900130477379188 -1.5707963284130608 2.1384021838232656 1.8241621997124735 -0.9351025086402639 1.416616535694111 -0.48151404883266286 -4.4816193809102385e-07 -0.8039914878866766 3.6349605737860275 -1.8633544494516576 2.8228549282695803 -0.9595005222160014 -8.930406385403543e-07 -1.6020929282430472 0.7524192697101312
