actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 actual_qdd_0 actual_qdd_1 actual_qdd_2 actual_qdd_3 actual_qdd_4 actual_qdd_5 timestamp
4.6625082714730866 -1.6079661933223566 1.9289005916724171 -1.8917307314915757 -1.570796325341479 3.0917119447402026 0.29584828462200086 -0.24356960922358076 0.3380245889202451 -0.0944549816463501 4.5647929142423973e-10 0.29584828464182267 -4.509300467222421 3.712472269617465 -5.152148976284317 1.4396767363838665 -6.957627909611277e-09 -4.509300467524493 101.5500786039192
4.669216221953553 -1.6134887971775926 1.9365648314923445 -1.8938723675004736 -1.570796325331129 3.0984198952211193 0.17732425800444734 -0.14598969293733458 0.20260370782316112 -0.05661401605441896 2.736025721751862e-10 0.17732425801632304 -3.749669205718998 3.0870737152374628 -4.284224238343936 1.1971505478174012 -5.785554390787848e-09 -3.749669205970186 101.60008122404984
4.672879160451482 -1.6165044661705374 1.9407499606425254 -1.8950418276818486 -1.5707963253254773 3.1020828337192934 0.08381341882241494 -0.06900294080241269 0.09576190877579348 -0.026758968525721273 1.2931996575467823e-10 0.08381341882802801 -2.755683618858131 2.2687330536551262 -3.1485354855070757 0.8798024500123597 -4.25188372254023e-09 -2.75568361904274 101.65008384418049
4.674309603253245 -1.6176821386883522 1.9423843282058086 -1.8954985227367454 -1.5707963253232702 3.1035132765211513 0.02224249590420162 -0.018312075199165716 0.025413399114970092 -0.0071013240623814256 3.431907263828741e-11 0.02224249590569033 -1.5111813393738 1.2441439326495891 -1.7266162339877449 0.48247231129709794 -2.3316781704252795e-09 -1.5111813394750326 101.70008646431113
4.674524570067754 -1.6178591192075156 1.9426299408149843 -1.8955671548281736 -1.5707963253229384 3.1037282433356754 0.0 3.552713678800501e-15 0.0 0.0 0.0 0.0 1.4210854715202004e-14 2.1316282072803006e-14 0.0 -3.552713678800501e-15 0.0 1.4210854715202004e-14 101.75008908444177
4.674524570067755 -1.6178591192075162 1.942629940814986 -1.8955671548281738 -1.5707963253229384 3.1037282433356754 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 101.80009170457241
4.6745245691269055 -1.617636283155423 1.942987154031751 -1.896147204327628 -1.5707963253111776 3.1037282423954453 -4.3685187699926036e-08 0.010346643863316091 0.01658599630722126 -0.026932650877488293 5.46068835901312e-10 -4.3656427716029685e-08 -1.3047309393044576e-06 0.3090197633843739 0.4953684230423417 -0.8043885062076503 1.6309255898919184e-08 -1.3038719744520866e-06 101.8500917045724
4.674524563259337 -1.6162465756009667 1.9452148990542746 -1.8997646583427097 -1.5707963252378325 3.1037282365317402 -1.5221860958552005e-07 0.036052305728176956 0.057792982688273195 -0.09384532572422588 1.9027465215405714e-09 -1.521183970194101e-07 -2.087569502887132e-06 0.49443162141499825 0.7925894768677466 -1.2870216099322407 2.6094809438270694e-08 -2.0861951591233385e-06 101.90106131099576
4.674524549382818 -1.612959983338236 1.9504834100664554 -1.9083197650186645 -1.5707963250643748 3.103728222664357 -2.953118688515e-07 0.06994331251601678 0.11212133503681573 -0.18206471993182088 3.691425330692869e-09 -2.9511745136036067e-07 -2.423071744422564e-06 0.5738938462852657 0.9199699285072059 -1.4938643686713506 3.028861809799277e-08 -2.4214765239824465e-06 101.95203091741911
4.674524526162523 -1.6074603589158516 1.959299481399903 -1.9226354664656375 -1.570796324774119 3.103728199459349 -4.473363220472426e-07 0.10594963316035677 0.1698406021859457 -0.27579034498548016 5.5917448796294345e-09 -4.4704181981214397e-07 -2.385793717585294e-06 0.5650647101885693 0.9058165449917106 -1.4708818399225607 2.982263935802365e-08 -2.384223038998101e-06 102.00300052384246
4.674524493719799 -1.5997764430112116 1.9716170408426528 -1.9426369497645248 -1.570796324368582 3.1037281670379833 -5.873230790767834e-07 0.13910487860680523 0.22298950590819697 -0.36209452846400925 7.3415921271176385e-09 -5.869364170710658e-07 -2.050291476049862e-06 0.48560248531830175 0.7784360933522512 -1.2640390811834505 2.5628830698301575e-08 -2.048941674138993e-06 102.05397013026581
4.674524453340934 -1.5902128868047356 1.9869477229478814 -1.9675311979728225 -1.5707963238638425 3.1037281266857004 -6.989630031988166e-07 0.16554630181305746 0.2653759409155402 -0.4309224140398127 8.737101374420991e-09 -6.98502843456475e-07 -1.4911210734908087e-06 0.35316544386785576 0.5661353406198191 -0.9193011499516004 1.863914959876478e-08 -1.4901393993738132e-06 102.10493973668916
4.674524407185914 -1.5792812743541103 2.00447144234262 -1.9959865411304771 -1.5707963232869007 3.103728080561068 -7.706067110266953e-07 0.18251479774889587 0.29257697485938305 -0.47509196147889354 9.632654265299143e-09 -7.700993849107636e-07 -7.828385635826746e-07 0.185411858030624 0.29722105382540476 -0.48263310372459056 9.78555353935151e-09 -7.82323184671252e-07 102.15590934311251
4.674524357997202 -1.5676311449685323 2.0231469670364715 -2.0263122072657347 -1.5707963226720372 3.1037280314047386 -7.952645725284313e-07 0.18835490339618977 0.30193884833057016 -0.4902939466408536 9.940879786007883e-09 -7.947410129993671e-07 0.0 -4.440892098500626e-16 0.0 0.0 0.0 0.0 102.20687894953586
4.67452430880849 -1.5559810155829543 2.041822491730323 -2.0566378734009927 -1.5707963220571737 3.1037279822484094 -7.706067110266953e-07 0.1825147977488958 0.29257697485938294 -0.47509196147889377 9.632654265299143e-09 -7.700993849107636e-07 7.828385635826746e-07 -0.18541185803062488 -0.29722105382540476 0.48263310372459056 -9.78555353935151e-09 7.82323184671252e-07 102.25784855595921
4.67452426265347 -1.545049403132329 2.0593462111250616 -2.085093216558647 -1.5707963214802318 3.103727936123777 -6.989630031988166e-07 0.1655463018130574 0.2653759409155403 -0.4309224140398128 8.737101374420991e-09 -6.98502843456475e-07 1.4911210734908087e-06 -0.35316544386785664 -0.5661353406198191 0.9193011499516004 -1.863914959876478e-08 1.4901393993738132e-06 102.30881816238256
