actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 timestamp
4.010802655865585 -1.2746473337204407 1.546127052616959 -1.8422760863308802 -1.5707962619641613 2.4400063320583527 -3.79504430938867 -0.256177768440245 0.34475467911419977 -0.08857675472797116 -2.4900604744804156e-07 -3.7950443197314936 2934.3710000000174
3.9430916118344115 -1.2792180482482665 1.5522781531982366 -1.8438564696019495 -1.5707962664069182 2.3722952878426424 -3.7853692481628602 -0.2555246705071802 0.34387576378241747 -0.0883509377268214 -2.483712330537283e-07 -3.7853692584793137 2934.4210000000176
3.875725664685778 -1.283765467620079 1.5583979040098397 -1.8454287982735382 -1.5707962708270322 2.304929340510413 -3.756418155573307 -0.2535703780961137 0.3412457484724447 -0.08767521601757344 -2.4647165124457956e-07 -3.7564181658108566 2934.4710000000177
3.8090472651919476 -1.2882664753008688 1.5644551956637143 -1.8469850795066736 -1.5707962752020337 2.2382509408348614 -3.7084133048836634 -0.2503298953714308 0.3368848252404051 -0.08655477748283219 -2.433218861419723e-07 -3.7084133149903824 2934.521000000018
3.7433935719046154 -1.2926983119976367 1.5704193995350473 -1.8485174439833967 -1.5707962795098007 2.1725972473686 -3.6417251515333184 -0.24582822927377146 0.33082664751316804 -0.08499826859360499 -2.3894624461486374e-07 -3.641725161458293 2934.571000000018
3.6790938050446345 -1.2970387542803965 1.5762606081438872 -1.8500182076672704 -1.570796283728732 2.1082974803333796 -3.5568723331374557 -0.2401003895200322 0.323118330088354 -0.08301779440930274 -2.3337875627979762e-07 -3.556872342831177 2934.6210000000183
3.616466600391733 -1.3012662932031807 1.581949875536765 -1.8514799335638865 -1.5707962878379205 2.0456702755097966 -3.454521669486997 -0.23319138860336652 0.3138204491343306 -0.08062891857773907 -2.2666317350089972e-07 -3.454521678901777 2934.6710000000185
3.5558173631742283 -1.3053603129250444 1.5874594576683132 -1.8528954934813724 -1.5707962918173277 1.9850210381270017 -3.3354881625486357 -0.22515624179318428 0.3030070421902149 -0.07785066333513085 -2.1885297138988027e-07 -3.335488171639007 2934.7210000000186
3.4974356219587537 -1.30930126933107 1.592763052782888 -1.8542581297908989 -1.5707962956479566 1.926639296752417 -3.200734996464824 -0.2160599671351502 0.29076560816587005 -0.07470550950609811 -2.100113478060324e-07 -3.2007350051879513 2934.771000000019
3.4415923825399686 -1.313070868653372 1.5978360417961897 -1.8555615171871873 -1.5707962993120257 1.8707960571814386 -3.051373537553797 -0.20597758545118738 0.27719710734191105 -0.07121939650366371 -2.0021122335623406e-07 -3.0513735458698577 2934.821000000019
3.388537481830279 -1.3166522460921026 1.6026557286768814 -1.8567998244490163 -1.5707963027931422 1.8177411563271564 -2.8886633343095056 -0.19499412033947294 0.26241596136969747 -0.06742172232925348 -1.8953524139494424e-07 -2.88866334218212 2934.871000000019
3.3384969417495647 -1.3200301444364535 1.6072015808282116 -1.8579677761997295 -1.570796306076476 1.767700616110064 -2.714012117401719 -0.18320459817444257 0.2465500532713416 -0.06334534357269683 -1.7807576802420885e-07 -2.714012124798348 2934.9210000000194
3.291670323114883 -1.3231910926856632 1.6114554694696337 -1.8590607146677425 -1.5707963091489332 1.7208739973477636 -2.528975799675912 -0.1707140481067857 0.22974072743969964 -0.05902657541222578 -1.659348920936555e-07 -2.5289758065682584 2934.9710000000196
