actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 timestamp
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.088
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.137999999999
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.187999999998
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.237999999998
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.287999999997
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.337999999996
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.387999999995
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.437999999995
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.487999999994
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.537999999993
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.587999999992
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.637999999992
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 12596.687999999991
3.712246594841125 -0.8256230895483581 0.8431690552513676 -1.5883422925821487 -1.5707963268076859 2.1414502680445837 12596.73799999999
3.713372789106565 -0.8265502765945612 0.8444558004292413 -1.588701850721241 -1.5707963268059482 2.1425764623100987 12596.78799999999
3.716270702336984 -0.8289361061896146 0.8477668418628275 -1.5896270625788713 -1.5707963268014768 2.1454743755407115 12596.837999999989
3.721605731247736 -0.833328394313403 0.8538624356119638 -1.591330368239378 -1.5707963267932452 2.150809404451821 12596.887999999988
3.7299033424672667 -0.8401597535853099 0.8633429591346384 -1.5939795325448283 -1.5707963267804423 2.1591070156719074 12596.937999999987
3.7415578181675433 -0.8497547934742485 0.8766589036996052 -1.5977004372976613 -1.57079632676246 2.170761491372965 12596.987999999987
3.756841001694489 -0.862337320508693 0.894120866798999 -1.6025798734633294 -1.570796326738879 2.1860446749009346 12597.037999999986
3.775911043198412 -0.8780375384867105 0.9159095445609526 -1.6086683333729401 -1.5707963267094547 2.2051147164061353 12597.087999999985
3.7988211452644394 -0.8968992486859914 0.9420857241622107 -1.6159828029258985 -1.5707963266741056 2.2280248184736973 12597.137999999984
3.825528308542948 -0.9188870500738817 0.9726002762407466 -1.6245095537925485 -1.5707963266328977 2.2547319817539946 12597.187999999984
3.855902077379996 -0.943893539517414 1.0073041473083775 -1.634206935616815 -1.5707963265860325 2.2851057505930776 12597.237999999983
3.8897332854477566 -0.9717465119933382 1.0459583521633797 -1.645008168218846 -1.5707963265338327 2.318936958663105 12597.287999999982
3.926742801374947 -1.0022161607981541 1.0882439663031052 -1.6568241337976544 -1.5707963264767288 2.3559464745927743 12597.337999999982
3.9665902743772627 -1.035022277758142 1.1337721183365967 -1.6695461691337592 -1.570796326415246 2.395793947597759 12597.38799999998
4.008882879887808 -1.0698414534393936 1.1820939823972028 -1.6830488577918286 -1.5707963263499907 2.4380865531111375 12597.43799999998
4.053184065187526 -1.1063142773578443 1.232710770555194 -1.697192822323321 -1.5707963262816362 2.482387738413824 12597.48799999998
4.099022295035637 -1.144052538189304 1.285083725230379 -1.7118275164691275 -1.5707963262109101 2.528225968265006 12597.537999999979
4.145899797300063 -1.1826464239794887 1.3386441116047192 -1.7267940173622132 -1.5707963261385804 2.575103470532572 12597.587999999978
4.193301308587863 -1.2216717223540519 1.3928032100349448 -1.741927817730259 -1.5707963260654423 2.622504981823546 12597.637999999977
4.240702819875661 -1.2606970207286148 1.4469623084651702 -1.7570616180983052 -1.570796325992304 2.6699064931145204 12597.687999999976
4.287580322140086 -1.2992909065187992 1.50052269483951 -1.7720281189913907 -1.5707963259199742 2.716783995382086 12597.737999999976
4.333418551988198 -1.3370291673502592 1.5528956495146953 -1.7866628131371973 -1.570796325849248 2.762622225233268 12597.787999999975
4.377719737287917 -1.37350199126871 1.6035124376726868 -1.8008067776686896 -1.5707963257808937 2.8069234105359553 12597.837999999974
4.4200123427984614 -1.4083211669499613 1.6518343017332924 -1.8143094663267592 -1.5707963257156383 2.849216016049333 12597.887999999974
4.459859815800777 -1.4411272839099487 1.697362453766783 -1.8270315016628638 -1.5707963256541555 2.8890634890543176 12597.937999999973
4.496869331727968 -1.4715969327147649 1.7396480679065087 -1.8388474672416721 -1.5707963255970516 2.926073004983987 12597.987999999972
4.5307005397957285 -1.4994499051906893 1.7783022727615116 -1.8496486998437032 -1.5707963255448518 2.9599042130540143 12598.037999999971
4.561074308632777 -1.5244563946342218 1.8130061438291425 -1.8593460816679699 -1.5707963254979866 2.9902779818930973 12598.08799999997
4.587781471911284 -1.5464441960221116 1.8435206959076778 -1.8678728325346197 -1.5707963254567787 3.0169851451733942 12598.13799999997
4.610691573977313 -1.5653059062213932 1.8696968755089367 -1.8751873020875782 -1.5707963254214297 3.0398952472409575 12598.18799999997
