timestamp actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 safety_status output_bit_register_65 output_bit_register_66
18438.022 3.7120580673217773 -0.825482503776886 0.8429587523089808 -1.5882412395873011 -1.5707929770099085 2.141279697418213 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.072 3.7120819091796875 -0.8254545491984864 0.8430007139789026 -1.5882932148375453 -1.5707810560809534 2.141279697418213 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.122 3.7120132446289062 -0.8254707616618653 0.8430126349078577 -1.5882774792113246 -1.5707810560809534 2.141263246536255 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.172 3.7120165824890137 -0.8255038422397156 0.8430336157428187 -1.588269372979635 -1.5708006064044397 2.141279697418213 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.221999999998 3.712094783782959 -0.8254869741252442 0.8429754416095179 -1.5882569752135218 -1.5708330313311976 2.1412994861602783 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.272 3.712090492248535 -0.8254663509181519 0.8429845015155237 -1.5882650814452113 -1.5708373228656214 2.141235113143921 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.322 3.712099313735962 -0.8254383367351075 0.8430007139789026 -1.588285585443014 -1.5707886854754847 2.141270637512207 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.372 3.712106704711914 -0.825463132267334 0.8430054823504847 -1.5882774792113246 -1.5708087126361292 2.1412723064422607 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.422 3.7120580673217773 -0.8255448502353211 0.8430007139789026 -1.5883094273009242 -1.5708125273333948 2.1412885189056396 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.471999999998 3.7120862007141113 -0.8254296344569703 0.8429845015155237 -1.5882932148375453 -1.5708006064044397 2.1413040161132812 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.522 3.712066650390625 -0.8254338663867493 0.8429148832904261 -1.5882727108397425 -1.570824925099508 2.14131760597229 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.572 3.712038278579712 -0.825478271847107 0.8429721037494105 -1.5882851086058558 -1.5708006064044397 2.141270637512207 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.622 3.712106704711914 -0.8254458469203492 0.8430126349078577 -1.5883094273009242 -1.5708168188678187 2.1413159370422363 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.672 3.71207857131958 -0.8254306477359314 0.8429477850543421 -1.5882650814452113 -1.570801083241598 2.141263246536255 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.721999999998 3.7120537757873535 -0.825463132267334 0.8429845015155237 -1.5882932148375453 -1.5707929770099085 2.141263246536255 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.772 3.71207857131958 -0.825557605629303 0.8430050055133265 -1.5882569752135218 -1.5707929770099085 2.14127516746521 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.822 3.7120580673217773 -0.825487808590271 0.8429887930499476 -1.588280817071432 -1.5707691351519983 2.141324996948242 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.872 3.7120327949523926 -0.825482503776886 0.842959229146139 -1.588285585443014 -1.5708048979388636 2.141279697418213 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.922 3.7120742797851562 -0.8254793447307129 0.8429635206805628 -1.5883013210692347 -1.5707605520831507 2.1413004398345947 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18438.971999999998 3.712066650390625 -0.8255200547030945 0.8429802099810999 -1.5882846317686976 -1.5707767645465296 2.141300678253174 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.022 3.712062358856201 -0.8254264158061524 0.8430050055133265 -1.5882774792113246 -1.5708168188678187 2.1413004398345947 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.072 3.71207857131958 -0.8254998487285157 0.8429635206805628 -1.5883094273009242 -1.5707767645465296 2.141291618347168 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.122 3.712110996246338 -0.825491265659668 0.8430126349078577 -1.5882569752135218 -1.5707810560809534 2.141242504119873 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.172 3.712090492248535 -0.8254546088031312 0.8429887930499476 -1.5882650814452113 -1.570772949849264 2.14131760597229 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.221999999998 3.7120537757873535 -0.8254954379848023 0.842959229146139 -1.5883175335326136 -1.5707247892962855 2.141313076019287 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.272 3.7120742797851562 -0.8254663509181519 0.8429759184466761 -1.5883294544615687 -1.5707929770099085 2.141326427459717 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.322 3.7120490074157715 -0.8254264754107972 0.8429759184466761 -1.5882650814452113 -1.5707967917071741 2.141282558441162 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.372 3.7120697498321533 -0.8254912060550232 0.8429563681231897 -1.5882889233031214 -1.570772949849264 2.1412513256073 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
18439.422 3.712111473083496 -0.825463132267334 0.8429802099810999 -1.5882932148375453 -1.570784870778219 2.141284227371216 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
