timestamp actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 safety_status output_bit_register_65 output_bit_register_66
3093.1009999999997 3.7120442390441895 -0.8254719537547608 0.8429892698871058 -1.5882331333556117 -1.5707967917071741 2.1413002014160156 1.4135442050651715e-22 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.151 3.7120442390441895 -0.8254543107799073 0.8429349104510706 -1.5882488689818324 -1.5707886854754847 2.141295909881592 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.201 3.712080240249634 -0.8254333895495911 0.8429887930499476 -1.5882374248900355 -1.570772949849264 2.141279697418213 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.2509999999997 3.712095260620117 -0.825466052894928 0.8429892698871058 -1.5882569752135218 -1.5707929770099085 2.1413214206695557 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.301 3.712066888809204 -0.8254993718913575 0.8429473082171839 -1.5882374248900355 -1.5708048979388636 2.1413002014160156 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.3509999999997 3.7121026515960693 -0.8254869741252442 0.8430054823504847 -1.5882412395873011 -1.5707967917071741 2.1412839889526367 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.401 3.712041139602661 -0.8254779738238831 0.8429802099810999 -1.588297029534811 -1.5707886854754847 2.141263484954834 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.451 3.7120654582977295 -0.8254587215236207 0.8429473082171839 -1.5882650814452113 -1.570864502583639 2.1412839889526367 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.5009999999997 3.7120742797851562 -0.8254869741252442 0.8430293242083948 -1.588268896142477 -1.5707452932940882 2.141263484954834 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.551 3.7120742797851562 -0.8254706424525757 0.8429802099810999 -1.5882889233031214 -1.5708087126361292 2.141317129135132 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.6009999999997 3.7120654582977295 -0.8254334491542359 0.8429349104510706 -1.5883056126036585 -1.5708368460284632 2.141287088394165 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.651 3.712095022201538 -0.8254794639400025 0.8429587523089808 -1.5882817707457484 -1.5708087126361292 2.141312837600708 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.701 3.712066888809204 -0.8254956764033814 0.8430336157428187 -1.5883094273009242 -1.570801083241598 2.1413300037384033 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.7509999999997 3.712062358856201 -0.8254706424525757 0.8430264631854456 -1.5882817707457484 -1.5708091894732874 2.141231060028076 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.801 3.712066888809204 -0.8254913848689576 0.8429802099810999 -1.5883251629271449 -1.5707891623126429 2.1412839889526367 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.8509999999997 3.71205472946167 -0.8254750531962891 0.8430054823504847 -1.5882288418211878 -1.5707925001727503 2.141324758529663 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.901 3.7120907306671143 -0.825454370384552 0.8430336157428187 -1.588297029534811 -1.5707443396197718 2.141263484954834 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3093.951 3.7120535373687744 -0.8254349392703553 0.8430145422564905 -1.5882774792113246 -1.5708091894732874 2.141334295272827 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.0009999999997 3.7120862007141113 -0.8255083721927186 0.8430007139789026 -1.588297506371969 -1.570801083241598 2.1412601470947266 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.051 3.7120742797851562 -0.8254794639400025 0.8429563681231897 -1.5882569752135218 -1.570772949849264 2.1412763595581055 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.1009999999997 3.712050199508667 -0.8254750531962891 0.8429754416095179 -1.588273664514059 -1.5707724730121058 2.141312837600708 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.151 3.7120862007141113 -0.8254779738238831 0.8430097738849085 -1.588273664514059 -1.5708091894732874 2.141291618347168 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.201 3.712066888809204 -0.8254957360080262 0.8429845015155237 -1.5883213482298792 -1.5707562605487269 2.141275405883789 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.2509999999997 3.712066888809204 -0.8254333895495911 0.8429721037494105 -1.588297506371969 -1.5707891623126429 2.14125919342041 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.301 3.712062358856201 -0.8255215448192139 0.8430174032794397 -1.5882607899107875 -1.570824925099508 2.1412720680236816 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.3509999999997 3.7120580673217773 -0.8254823845675965 0.8429845015155237 -1.5882817707457484 -1.5707481543170374 2.1412222385406494 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.401 3.7120535373687744 -0.8254587811282654 0.8429754416095179 -1.588292738000387 -1.5707486311541956 2.1413002014160156 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.451 3.7121200561523438 -0.8255202335170289 0.8429673353778284 -1.5882569752135218 -1.570801083241598 2.141295909881592 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
3094.5009999999997 3.7120580673217773 -0.8254497212222596 0.8430007139789026 -1.5883094273009242 -1.5707486311541956 2.141263484954834 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
