timestamp actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 output_bit_register_65 output_bit_register_66
4116.759 -2.179408852254049 -1.0670760434916993 1.4927895704852503 -1.996552129785055 -1.5707805792437952 2.533036231994629 False False
4116.7789999999995 -2.179375950490133 -1.0670760434916993 1.4928224722491663 -1.9965077839293421 -1.5707605520831507 2.5329995155334473 False False
4116.799 -2.1794217268573206 -1.0670262736133118 1.4928014914142054 -1.9965163669981898 -1.5707610289203089 2.533048152923584 False False
4116.8189999999995 -2.1793716589557093 -1.067052201633789 1.4928057829486292 -1.9965077839293421 -1.570784870778219 2.533064365386963 False False
4116.839 -2.179359738026754 -1.0671296876719971 1.4928224722491663 -1.996523996392721 -1.570801083241598 2.5329833030700684 False False
4116.8589999999995 -2.179375950490133 -1.0670136970332642 1.4927971998797815 -1.9965163669981898 -1.570756737385885 2.532958745956421 False False
4116.879 -2.179359738026754 -1.0670968455127259 1.4927762190448206 -1.996512075463766 -1.5707405249225062 2.533015727996826 False False
4116.898999999999 -2.179380242024557 -1.0670181673816224 1.4928134123431605 -1.9965316257872523 -1.5708087126361292 2.532970666885376 False False
4116.919 -2.179392162953512 -1.0670477908900757 1.4927938620196741 -1.9965602360167445 -1.5707805792437952 2.533031940460205 False False
4116.938999999999 -2.1793716589557093 -1.0670181673816224 1.4927967230426233 -1.9965445003905238 -1.5708087126361292 2.5330007076263428 False False
4116.959 -2.179354969655172 -1.0670433801463624 1.4928177038775843 -1.9964634380736292 -1.5708087126361292 2.5329909324645996 False False
4116.978999999999 -2.179364029561178 -1.0670968455127259 1.4928091208087366 -1.9964996776976527 -1.570801083241598 2.5330071449279785 False False
4116.999 -2.179389301930563 -1.0670879644206543 1.4927938620196741 -1.9965607128539027 -1.570813004170553 2.53302001953125 False False
4117.019 -2.1793554464923304 -1.0670849245837708 1.4928258101092737 -1.996491094628805 -1.570784870778219 2.5330288410186768 False False
4117.039 -2.179282013569967 -1.0670477908900757 1.4928177038775843 -1.9965039692320765 -1.5707843939410608 2.5329995155334473 False False
4117.059 -2.179364029561178 -1.067052201633789 1.4928177038775843 -1.996523996392721 -1.5707805792437952 2.5329952239990234 False False
4117.079 -2.1794255415545862 -1.0670895141414185 1.4928177038775843 -1.9965077839293421 -1.5707805792437952 2.5330686569213867 False False
4117.099 -2.1793554464923304 -1.0670895141414185 1.4927852789508265 -1.9964634380736292 -1.5708006064044397 2.5329995155334473 False False
4117.119 -2.179359738026754 -1.0670477908900757 1.4927805105792444 -1.9965077839293421 -1.570784870778219 2.533052444458008 False False
4117.139 -2.179375950490133 -1.0670597118190308 1.4928506056415003 -1.9964992008604945 -1.5707886854754847 2.5329995155334473 False False
4117.159 -2.17933160463442 -1.06703074396167 1.4927895704852503 -1.9964953861632289 -1.5707724730121058 2.5330114364624023 False False
4117.179 -2.179413143788473 -1.067056731586792 1.4928224722491663 -1.9964844189085902 -1.5707767645465296 2.532991886138916 False False
4117.199 -2.179420773183004 -1.067096785908081 1.4927971998797815 -1.9965197048582972 -1.5708492437945765 2.533036231994629 False False
4117.219 -2.179380242024557 -1.067105845814087 1.4927805105792444 -1.9965564213194789 -1.5708168188678187 2.5330233573913574 False False
4117.239 -2.179364029561178 -1.0670672220042725 1.4928224722491663 -1.9965359173216761 -1.570829216633932 2.5329995155334473 False False
4117.259 -2.1794055143939417 -1.0670398038676758 1.4928301016436976 -1.9965163669981898 -1.5708254019366663 2.53302001953125 False False
4117.2789999999995 -2.179396454487936 -1.0670804542354126 1.4928439299212855 -1.9965487919249476 -1.5707691351519983 2.533024311065674 False False
4117.299 -2.1793225447284144 -1.0670849245837708 1.4927523771869105 -1.9965039692320765 -1.5707648436175745 2.532966375350952 False False
4117.3189999999995 -2.179389301930563 -1.0670352143100281 1.4928134123431605 -1.996523996392721 -1.5708048979388636 2.5329749584198 False False
4117.339 -2.1793554464923304 -1.0670716327479859 1.4927924315081995 -1.9965278110899867 -1.5707967917071741 2.5329790115356445 False False
4117.3589999999995 -2.1793716589557093 -1.0670263928226014 1.4928134123431605 -1.9965402088561 -1.5708044211017054 2.5329620838165283 False False
4117.379 -2.1793716589557093 -1.0670940440944214 1.4927805105792444 -1.9965039692320765 -1.5708091894732874 2.5329995155334473 False False
4117.398999999999 -2.179396454487936 -1.0670094054988404 1.4927595297442835 -1.996523996392721 -1.5708168188678187 2.53302001953125 False False
4117.419 -2.179328266774313 -1.0670567911914368 1.4927805105792444 -1.9964996776976527 -1.5708087126361292 2.5330450534820557 False False
4117.438999999999 -2.179359738026754 -1.0671131771853943 1.4928463141070765 -1.9964682064452113 -1.570784870778219 2.5329794883728027 False False
4117.459 -2.179364029561178 -1.0671057862094422 1.4927642981158655 -1.9965559444823207 -1.570784870778219 2.5330071449279785 False False
4117.478999999999 -2.1794098059283655 -1.0670308035663147 1.4928224722491663 -1.996523996392721 -1.5708168188678187 2.532986640930176 False False
4117.499 -2.1794384161578577 -1.0670672220042725 1.4928057829486292 -1.9964915714659632 -1.5707767645465296 2.533015727996826 False False
4117.519 -2.179380242024557 -1.0670760434916993 1.4928091208087366 -1.9965158901610316 -1.5708211104022425 2.533048152923584 False False
4117.539 -2.1794050375567835 -1.0670443934253235 1.4928506056415003 -1.9965077839293421 -1.5708048979388636 2.532991886138916 False False
4117.559 -2.179323975239889 -1.0670923751643677 1.4928348700152796 -1.996523996392721 -1.5707724730121058 2.532996416091919 False False
4117.579 -2.179380242024557 -1.06699754417453 1.4928134123431605 -1.9964915714659632 -1.5707405249225062 2.5330233573913574 False False
4117.599 -2.1793230215655726 -1.0670522612384339 1.4927938620196741 -1.996552129785055 -1.570784870778219 2.533024311065674 False False
4117.619 -2.179364029561178 -1.0670522612384339 1.4928091208087366 -1.9965034923949183 -1.5708044211017054 2.533052444458008 False False
4117.639 -2.1793444792376917 -1.0670730632594605 1.4928267637835901 -1.9964801273741664 -1.570813004170553 2.533024311065674 False False
4117.659 -2.1792896429644983 -1.0670730632594605 1.4928391615497034 -1.996495863000387 -1.5707529226886194 2.533003807067871 False False
4117.679 -2.179364029561178 -1.0670521420291443 1.4928057829486292 -1.9965278110899867 -1.570784870778219 2.5330114364624023 False False
4117.699 -2.1793554464923304 -1.0670848053744812 1.4928134123431605 -1.9964915714659632 -1.5708087126361292 2.533036231994629 False False
4117.719 -2.1793511549579065 -1.0670730632594605 1.4927938620196741 -1.9965716801085414 -1.5707648436175745 2.5330405235290527 False False
