timestamp actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 safety_status output_bit_register_65 output_bit_register_66
12729.17 3.7120444774627686 -0.8254305285266419 0.8430050055133265 -1.588252683679098 -1.5707891623126429 2.1412720680236816 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.22 3.712029457092285 -0.825451211338379 0.8429930845843714 -1.5882817707457484 -1.5707529226886194 2.1412882804870605 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.269999999999 3.7120578289031982 -0.8254676026156922 0.8430007139789026 -1.5883332691588343 -1.570801083241598 2.141270875930786 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.32 3.712036609649658 -0.8254794639400025 0.8430169264422815 -1.588292738000387 -1.5707486311541956 2.141308546066284 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.369999999999 3.7120277881622314 -0.825463132267334 0.8430050055133265 -1.5882774792113246 -1.5708335081683558 2.141270875930786 6.648962624922206e-08 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.42 3.712066888809204 -0.8254794639400025 0.8430050055133265 -1.5883332691588343 -1.5707967917071741 2.141291618347168 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.47 3.7120742797851562 -0.8255202931216736 0.8429964224444788 -1.5882536373534144 -1.5707686583148401 2.1412882804870605 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.519999999999 3.7120578289031982 -0.8254823845675965 0.8429678122149866 -1.588297029534811 -1.5708048979388636 2.14125919342041 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.57 3.712066888809204 -0.8255112928203125 0.8429802099810999 -1.5883165798582972 -1.570784870778219 2.1413002014160156 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.619999999999 3.712095260620117 -0.825457291012146 0.8429845015155237 -1.5883094273009242 -1.5707929770099085 2.141263484954834 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.67 3.712120532989502 -0.8254543107799073 0.8429887930499476 -1.5883051357665003 -1.5707405249225062 2.1412148475646973 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.72 3.7120697498321533 -0.8254869741252442 0.8429716269122522 -1.588297029534811 -1.570784870778219 2.141291618347168 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
12729.769999999999 3.7120532989501953 -0.8254290384105225 0.8430126349078577 -1.5882774792113246 -1.5707805792437952 2.1413087844848633 0.0 0.0 0.0 -0.0 0.0 0.0 1 False False
