timestamp actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 safety_status output_bit_register_65 output_bit_register_66
8646.652 3.7120981216430664 -0.8254794639400025 0.8429887930499476 -1.5882655582823695 -1.5708335081683558 2.141295909881592 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8646.702 3.7120935916900635 -0.8254675430110474 0.8429887930499476 -1.588245531121725 -1.5707805792437952 2.141247272491455 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8646.752 3.7121026515960693 -0.825466052894928 0.8429887930499476 -1.5883285007872523 -1.5707524458514612 2.141295909881592 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8646.802 3.7120742797851562 -0.8255202335170289 0.842992130910055 -1.588292738000387 -1.5707805792437952 2.1413614749908447 0.0 0.0 0.0 -0.0 -0.0 0.00021251187718007714 1 False False
8646.851999999999 3.712127923965454 -0.8254468601993104 0.8430169264422815 -1.588245531121725 -1.5708211104022425 2.141282796859741 0.0 0.0 0.0 -0.0 -0.0 -3.2962880140985362e-06 1 False False
8646.902 3.7120728492736816 -0.8254823845675965 0.8429845015155237 -1.588292738000387 -1.570813004170553 2.141231060028076 0.0 0.0 0.0 -0.0 -0.0 -5.00707026357045e-25 1 False False
8646.952 3.7121026515960693 -0.8254305285266419 0.8429964224444788 -1.5882774792113246 -1.5707529226886194 2.1413002014160156 0.0 0.0 0.0 -0.0 -0.0 -7.567011707354012e-44 1 False False
8647.002 3.7120490074157715 -0.8255044978908082 0.8429887930499476 -1.5882731876769007 -1.5708211104022425 2.1412429809570312 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.052 3.7120935916900635 -0.8255201739123841 0.8430212179767054 -1.588313718835348 -1.5707686583148401 2.141279697418213 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.101999999999 3.7120490074157715 -0.8254913252643128 0.842992130910055 -1.5883127651610316 -1.5708335081683558 2.14125919342041 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.152 3.712083101272583 -0.8254349392703553 0.8430374304400843 -1.588269372979635 -1.570801083241598 2.1413333415985107 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.202 3.7120535373687744 -0.825463132267334 0.8429802099810999 -1.5883456669249476 -1.570813004170553 2.141270875930786 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.252 3.7121145725250244 -0.8255126041224976 0.8430212179767054 -1.5882569752135218 -1.5707805792437952 2.141291618347168 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.302 3.712062358856201 -0.8254956764033814 0.8429635206805628 -1.5882846317686976 -1.570784870778219 2.141312837600708 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.351999999999 3.7120862007141113 -0.8254587811282654 0.8429759184466761 -1.588280817071432 -1.5707362333880823 2.1413044929504395 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.402 3.7121188640594482 -0.8254837554744263 0.8429845015155237 -1.5882889233031214 -1.5708048979388636 2.141329050064087 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.452 3.7121024131774902 -0.8254780930331727 0.842992130910055 -1.5883251629271449 -1.570801083241598 2.141291618347168 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.502 3.7120819091796875 -0.8254425090602417 0.8430097738849085 -1.5882817707457484 -1.570801083241598 2.141312837600708 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.552 3.7120697498321533 -0.8254956167987366 0.8430054823504847 -1.5882731876769007 -1.5708087126361292 2.141340970993042 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.601999999999 3.7121200561523438 -0.825508252983429 0.842971150075094 -1.5883013210692347 -1.570784870778219 2.1412546634674072 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.652 3.7120981216430664 -0.8254382175258179 0.8430126349078577 -1.5883013210692347 -1.5707767645465296 2.141312837600708 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.702 3.712083101272583 -0.8254382175258179 0.842971150075094 -1.5883289776244105 -1.5707605520831507 2.141275405883789 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.752 3.712131977081299 -0.825491265659668 0.8429978529559534 -1.5882817707457484 -1.5707562605487269 2.141279697418213 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.802 3.71207857131958 -0.8254869741252442 0.8430007139789026 -1.5882607899107875 -1.5707362333880823 2.1412997245788574 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.851999999999 3.7120535373687744 -0.8254824441722413 0.8429802099810999 -1.588269372979635 -1.5707772413836878 2.141357183456421 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.902 3.712062358856201 -0.8254588407329102 0.842987362538473 -1.5882488689818324 -1.5708373228656214 2.1413044929504395 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8647.952 3.7120981216430664 -0.8254293960383912 0.8429754416095179 -1.5882412395873011 -1.5707972685443323 2.141308546066284 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.002 3.712090492248535 -0.8254993718913575 0.8429845015155237 -1.588252683679098 -1.5707767645465296 2.1412720680236816 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.052 3.7120819091796875 -0.8254588407329102 0.8429515997516077 -1.588269372979635 -1.5708087126361292 2.1412179470062256 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.101999999999 3.7120580673217773 -0.8255200547030945 0.8430145422564905 -1.588285585443014 -1.570813004170553 2.1412384510040283 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.152 3.7120449542999268 -0.825491265659668 0.8429754416095179 -1.588313718835348 -1.5708168188678187 2.1412882804870605 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.202 3.71207857131958 -0.825463132267334 0.8429845015155237 -1.5882932148375453 -1.5707805792437952 2.1413419246673584 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.252 3.7120580673217773 -0.8255275052836915 0.8429673353778284 -1.5882817707457484 -1.5708211104022425 2.1413002014160156 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.302 3.7120862007141113 -0.8255041998675843 0.8429845015155237 -1.5882607899107875 -1.5708254019366663 2.1413116455078125 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.351999999999 3.712062358856201 -0.8255317968181153 0.8429721037494105 -1.588297029534811 -1.570784870778219 2.1412503719329834 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.402 3.712110996246338 -0.8254307073405762 0.8430174032794397 -1.5882731876769007 -1.5708048979388636 2.141287088394165 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.452 3.712062358856201 -0.8255243462375184 0.8429630438434046 -1.5882817707457484 -1.5707805792437952 2.141247272491455 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.502 3.71207857131958 -0.8255491417697449 0.8429964224444788 -1.5882889233031214 -1.5708211104022425 2.1413002014160156 0.0 0.0 0.0 -0.0 -0.0 -4.59215490340812e-14 1 False False
8648.552 3.7120580673217773 -0.8255166572383423 0.8430336157428187 -1.588252683679098 -1.5708254019366663 2.1412997245788574 0.0 0.0 0.0 -0.0 -0.0 -6.975489272271028e-33 1 False False
8648.601999999999 3.712090492248535 -0.8255155247500916 0.8430097738849085 -1.5882889233031214 -1.5708006064044397 2.141270875930786 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.652 3.7121024131774902 -0.8255362075618287 0.8429754416095179 -1.588245531121725 -1.5707925001727503 2.141282796859741 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.702 3.7121198177337646 -0.8254955571940918 0.8429439703570765 -1.5882607899107875 -1.5707481543170374 2.1412720680236816 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.752 3.712094783782959 -0.8254631918719788 0.8429515997516077 -1.5882650814452113 -1.570801083241598 2.141263484954834 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.802 3.7120819091796875 -0.8254825633815308 0.8429845015155237 -1.5883332691588343 -1.5707719961749476 2.1412134170532227 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.851999999999 3.7120819091796875 -0.8255327504924317 0.8429892698871058 -1.5883251629271449 -1.570756737385885 2.1412839889526367 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.902 3.7120819091796875 -0.8255080741694947 0.8429587523089808 -1.5883332691588343 -1.5707886854754847 2.1413002014160156 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8648.952 3.7121024131774902 -0.825483576660492 0.8430126349078577 -1.5883456669249476 -1.570751969014303 2.14125919342041 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.002 3.712062358856201 -0.8254500788501282 0.8429845015155237 -1.5882817707457484 -1.5707686583148401 2.141275405883789 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.052 3.7120776176452637 -0.825458900337555 0.8429673353778284 -1.5883332691588343 -1.5707805792437952 2.1412546634674072 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.101999999999 3.7120494842529297 -0.8255037826350708 0.8429763952838343 -1.5882412395873011 -1.5708211104022425 2.141295909881592 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.152 3.712118625640869 -0.8254912060550232 0.8430026213275355 -1.588297029534811 -1.5707805792437952 2.1412882804870605 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.202 3.7120981216430664 -0.82541777313266 0.8430007139789026 -1.588297029534811 -1.5707925001727503 2.1412341594696045 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.252 3.7120330333709717 -0.8255208891681214 0.8430054823504847 -1.5882889233031214 -1.5708172957049769 2.1412997245788574 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.302 3.7121026515960693 -0.8255608838847657 0.8429964224444788 -1.5882650814452113 -1.5707805792437952 2.141312837600708 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.351999999999 3.712123394012451 -0.8255285185626526 0.8429892698871058 -1.588297029534811 -1.5707643667804163 2.141275405883789 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.402 3.7120862007141113 -0.8254869741252442 0.8429673353778284 -1.5882288418211878 -1.5707805792437952 2.1412546634674072 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.452 3.7120816707611084 -0.8254955571940918 0.8429964224444788 -1.5882817707457484 -1.5707891623126429 2.141251564025879 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 False False
8649.502 3.712045669555664 -0.825457827453949 0.8430007139789026 -1.5882650814452113 -1.570801083241598 2.141312837600708 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 True False
8649.552 3.7120368480682373 -0.8254750531962891 0.8429802099810999 -1.5883051357665003 -1.5708449522601526 2.141324758529663 0.0 0.0 0.0 -0.0 -0.0 -1.2472428423393467e-08 1 True False
8649.601999999999 3.7120981216430664 -0.825483576660492 0.8429802099810999 -1.5883251629271449 -1.5707648436175745 2.1412925720214844 0.0 0.0 0.0 -0.0 -0.0 -1.8945642493129453e-27 1 True False
8649.652 3.7120773792266846 -0.8254620593837281 0.8429721037494105 -1.5883056126036585 -1.5708168188678187 2.1413333415985107 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 True False
8649.702 3.7120490074157715 -0.8254707616618653 0.8429845015155237 -1.5882817707457484 -1.5707529226886194 2.1412763595581055 0.0 0.0 0.0 -0.0 -0.0 -0.0 1 True False
